Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,3,224,10000
2,0,3,453,10000
3,0,3,682,10000
4,0,3,900,10000
5,0,2,1133,10000
6,0,3,1340,10000
7,0,130,1433,10000
8,0,241,1538,10000
9,0,433,1562,10000
10,0,640,1562,0
11,0,544,1873,0
12,0,763,1873,0
13,0,857,1993,0
14,0,1048,2015,0
15,0,1258,2015,0
16,0,1204,2262,0
17,0,1399,2262,0
18,0,1472,2375,0
19,0,1604,2429,0
20,0,1797,2429,0
21,0,1697,2692,0
22,0,1881,2692,0
23,0,1974,2795,0
24,0,2063,2885,0
25,0,2258,2885,0
26,2,2266,3050,0
27,4,2283,3211,0
28,6,2400,3272,0
29,6,2401,3449,0
30,16,2584,3439,0
31,16,2664,3529,0
32,28,2481,3857,0
33,33,2474,4036,0
34,33,2376,4292,10000
35,50,2560,4275,10000
36,50,2504,4507,10000
37,82,2567,4572,10000
38,97,2566,4728,10000
39,97,2572,4895,10000
40,117,2741,4875,0
41,117,2342,5431,0
42,158,2399,5489,0
43,165,2350,5679,0
44,165,2260,5931,0
45,165,2412,5931,0
46,199,2151,6308,0
47,237,2159,6405,0
48,305,2166,6474,0
49,305,1987,6807,0
50,305,2139,6807,0
51,305,2026,7066,0
52,305,1709,7531,0
53,305,1718,7661,0
54,305,1561,7966,0
55,324,1710,7947,0
56,327,1555,8118,0
57,361,1084,8555,0
58,361,1027,8612,0
59,361,784,8855,0
60,398,784,8818,0
61,398,743,8859,0
62,421,377,9202,0
63,425,354,9221,10000
64,425,267,9308,10000
65,425,234,9341,10000
66,425,205,9370,10000
67,425,131,9444,10000
68,438,111,9451,10000
69,438,71,9491,10000
70,438,67,9495,10000
71,463,39,9498,10000
72,489,34,9477,10000
73,489,33,9478,10000
74,489,18,9493,10000
75,489,13,9498,10000
76,489,1,9510,10000
77,489,1,9510,10000
78,489,1,9510,10000
79,489,1,9510,10000
80,489,1,9510,10000
81,489,1,9510,10000
82,489,1,9510,10000
83,489,1,9510,10000
84,489,1,9510,10000
85,489,1,9510,10000
86,489,1,9510,10000
87,489,1,9510,10000
88,489,1,9510,10000
89,489,1,9510,10000
90,489,1,9510,10000
91,489,1,9510,10000
