Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,3,43,10000
2,0,3,84,10000
3,0,3,126,10000
4,0,3,168,10000
5,0,3,210,10000
6,0,3,253,10000
7,0,3,296,10000
8,0,3,339,10000
9,0,3,382,10000
10,0,3,425,10000
11,0,3,466,10000
12,0,3,508,10000
13,0,34,520,10000
14,0,41,554,10000
15,0,65,572,10000
16,0,59,621,10000
17,0,91,632,10000
18,0,123,645,10000
19,0,123,686,10000
20,0,158,693,0
21,0,160,733,0
22,0,196,739,0
23,0,221,756,0
24,0,227,792,0
25,0,259,802,0
26,0,251,852,0
27,0,285,860,0
28,0,314,875,0
29,0,321,913,0
30,0,355,921,0
31,0,353,967,0
32,0,392,971,0
33,0,414,991,0
34,0,381,1067,0
35,0,345,1145,0
36,2,340,1189,0
37,2,305,1266,0
38,2,329,1284,0
39,3,325,1329,0
40,11,317,1371,0
41,13,291,1437,0
42,19,294,1470,0
43,22,321,1482,0
44,23,318,1525,0
45,38,324,1547,0
46,42,295,1615,0
47,46,294,1654,0
48,55,313,1667,0
49,56,314,1708,0
50,68,310,1742,0
51,68,255,1839,0
52,68,282,1855,0
53,68,288,1892,0
54,68,279,1943,0
55,83,260,1990,0
56,86,219,2071,0
57,86,231,2101,0
58,86,244,2128,0
59,86,262,2151,0
60,86,236,2219,0
61,86,184,2313,0
62,86,203,2336,0
63,86,217,2364,0
64,86,205,2417,0
65,86,160,2504,0
66,86,158,2547,0
67,86,157,2589,0
68,86,142,2645,0
69,86,163,2665,0
70,86,132,2738,10000
71,86,129,2783,10000
72,86,99,2855,10000
73,86,106,2889,10000
74,86,116,2922,10000
75,86,78,3001,10000
76,87,97,3023,10000
77,88,64,3097,10000
78,88,80,3124,10000
79,88,72,3173,10000
80,88,45,3242,10000
81,88,38,3290,10000
82,88,40,3331,10000
83,88,43,3370,10000
84,88,51,3405,10000
85,88,28,3470,10000
86,88,29,3511,10000
87,88,13,3568,10000
88,88,14,3609,10000
89,88,12,3653,10000
90,88,11,3695,10000
91,88,5,3743,10000
