Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,58,10000
2,0,3,120,10000
3,0,2,183,10000
4,0,3,243,10000
5,0,5,296,10000
6,0,6,353,10000
7,0,4,416,10000
8,0,33,444,10000
9,0,94,444,10000
10,0,152,444,0
11,0,99,554,0
12,0,158,554,0
13,0,189,579,0
14,0,247,579,0
15,0,305,579,0
16,0,233,709,0
17,0,292,709,0
18,0,325,735,0
19,0,381,735,0
20,0,437,735,0
21,0,346,884,0
22,0,402,884,0
23,0,428,915,0
24,0,485,915,0
25,0,542,915,0
26,0,487,1026,0
27,2,535,1035,0
28,2,576,1053,0
29,2,636,1053,0
30,2,694,1053,0
31,2,672,1131,0
32,10,730,1123,0
33,10,673,1239,0
34,10,724,1249,0
35,24,784,1235,0
36,24,703,1374,10000
37,34,730,1395,10000
38,34,735,1449,10000
39,34,777,1465,10000
40,59,835,1440,10000
41,59,708,1625,10000
42,70,764,1616,10000
43,70,750,1689,10000
44,70,807,1689,10000
45,104,865,1655,0
46,109,770,1802,0
47,109,810,1818,0
48,109,819,1865,0
49,109,880,1865,0
50,111,937,1863,0
51,111,865,1990,0
52,116,892,2016,0
53,116,926,2038,0
54,116,986,2038,0
55,116,1044,2038,0
56,116,1083,2056,0
57,116,1135,2061,0
58,116,1193,2061,0
59,116,1250,2061,0
60,116,1307,2061,0
61,116,1333,2092,0
62,131,1388,2082,0
63,131,1421,2106,0
64,131,1481,2106,0
65,131,1540,2106,0
66,153,1585,2098,0
67,158,1619,2119,0
68,158,1677,2119,0
69,158,1735,2119,0
70,179,1793,2098,0
71,186,1817,2122,0
72,186,1873,2122,0
73,186,1930,2122,0
74,186,1986,2122,0
75,186,2041,2122,0
76,186,2099,2122,0
77,186,2157,2122,0
78,186,2216,2122,0
79,186,2275,2122,0
80,186,2331,2122,0
81,186,2390,2122,0
82,186,2449,2122,0
83,186,2506,2122,0
84,186,2564,2122,0
85,186,2623,2122,0
86,186,2681,2122,0
87,186,2739,2122,0
88,186,2799,2122,0
89,186,2857,2122,0
90,186,2915,2122,0
91,186,2972,2122,0
