Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,5,60,10000
2,0,5,122,10000
3,0,5,184,10000
4,0,5,249,10000
5,0,20,297,0
6,0,8,372,0
7,0,61,381,0
8,0,63,440,10000
9,0,112,452,10000
10,0,172,452,10000
11,0,142,547,10000
12,0,204,547,10000
13,0,219,593,10000
14,0,279,593,10000
15,0,341,593,0
16,0,305,691,0
17,0,365,691,0
18,0,379,737,0
19,0,438,738,0
20,0,500,738,0
21,0,452,846,0
22,0,515,846,0
23,0,526,893,0
24,0,578,900,0
25,0,637,900,0
26,0,596,1002,0
27,0,636,1022,0
28,0,668,1051,0
29,0,724,1054,0
30,0,786,1054,0
31,0,790,1112,0
32,21,838,1104,0
33,21,816,1185,0
34,21,850,1212,0
35,27,911,1206,0
36,27,892,1284,0
37,51,947,1265,0
38,51,913,1359,0
39,51,975,1360,0
40,67,1035,1344,0
41,67,1012,1427,0
42,79,1071,1415,0
43,85,1099,1443,0
44,85,1160,1443,0
45,85,1221,1443,0
46,85,1284,1443,0
47,85,1346,1443,0
48,85,1406,1443,0
49,85,1467,1443,0
50,85,1529,1443,0
51,85,1590,1443,0
52,85,1652,1443,0
53,85,1716,1443,0
54,85,1776,1443,0
55,85,1837,1443,0
56,85,1899,1443,0
57,85,1956,1443,0
58,85,2016,1443,0
59,85,2078,1443,0
60,85,2137,1443,0
61,85,2200,1443,0
62,85,2259,1443,0
63,85,2318,1443,0
64,85,2379,1443,0
65,85,2439,1443,0
66,85,2500,1443,0
67,85,2558,1443,0
68,85,2621,1443,0
69,85,2680,1443,0
70,85,2741,1443,0
71,85,2803,1443,0
72,85,2861,1443,0
73,85,2924,1443,0
74,85,2983,1443,0
75,85,3043,1443,0
76,85,3101,1443,0
77,85,3161,1443,0
78,85,3223,1443,0
79,85,3284,1443,0
80,85,3347,1443,0
81,85,3408,1443,0
82,85,3470,1443,0
83,85,3532,1443,0
84,85,3592,1443,0
85,85,3654,1443,0
86,85,3714,1443,0
87,85,3776,1443,0
88,85,3837,1443,0
89,85,3898,1443,0
90,85,3959,1443,0
91,103,4003,1443,0
