Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,3,14,10000
2,0,2,35,10000
3,0,6,48,10000
4,0,23,48,10000
5,0,42,48,10000
6,0,38,70,10000
7,0,35,90,10000
8,0,52,90,10000
9,0,72,90,10000
10,0,90,90,0
11,0,91,105,0
12,0,100,113,0
13,0,119,113,0
14,0,139,113,0
15,0,159,113,0
16,0,180,113,0
17,0,198,113,0
18,0,215,113,0
19,0,235,113,0
20,0,255,113,0
21,0,276,113,0
22,0,293,113,0
23,0,313,113,0
24,0,333,113,0
25,0,354,113,0
26,0,374,113,0
27,0,389,113,0
28,0,408,113,0
29,0,426,113,0
30,0,445,113,0
31,0,464,113,0
32,0,485,113,0
33,0,506,113,0
34,0,527,113,0
35,0,547,113,0
36,0,565,113,0
37,0,582,113,0
38,0,601,113,0
39,0,620,113,0
40,0,644,113,0
41,0,667,113,0
42,0,687,113,0
43,0,706,113,0
44,0,729,113,0
45,0,751,113,0
46,0,775,113,0
47,0,795,113,0
48,0,817,113,0
49,0,840,113,0
50,0,858,113,0
51,0,880,113,0
52,0,896,113,0
53,0,915,113,0
54,0,937,113,0
55,1,953,113,0
56,1,977,113,0
57,1,999,113,0
58,58,967,113,0
59,58,985,113,0
60,58,1006,113,0
61,104,980,113,0
62,104,1004,113,0
63,104,1025,113,0
64,104,1047,114,0
65,105,1062,116,0
66,105,1082,116,0
67,105,1100,117,0
68,163,1062,117,0
69,163,1085,117,0
70,163,1107,117,0
71,213,1078,117,0
72,213,1100,117,0
73,213,1123,117,0
74,265,1097,117,0
75,265,1119,117,0
76,265,1142,117,0
77,265,1165,117,0
78,265,1191,117,0
79,265,1215,117,0
80,265,1236,117,0
81,265,1260,117,0
82,265,1280,117,0
83,265,1300,117,0
84,265,1325,117,0
85,265,1346,117,0
86,265,1370,118,0
87,265,1391,120,0
88,265,1415,123,0
89,265,1440,123,0
90,265,1461,123,0
91,265,1489,123,0
