Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,10,10000
2,0,2,19,10000
3,0,2,29,10000
4,0,2,39,10000
5,0,3,47,10000
6,0,3,57,10000
7,0,8,61,10000
8,0,12,67,10000
9,0,10,79,10000
10,0,19,79,10000
11,0,18,90,10000
12,0,27,90,10000
13,0,30,97,10000
14,0,34,102,10000
15,0,44,102,0
16,0,39,116,0
17,0,47,118,0
18,0,52,123,0
19,0,53,131,0
20,0,63,131,0
21,0,60,144,0
22,0,69,144,0
23,0,74,149,0
24,0,80,153,0
25,0,89,153,0
26,0,97,155,0
27,0,88,173,0
28,0,93,178,0
29,0,99,182,0
30,2,108,180,0
31,2,117,180,0
32,5,108,195,0
33,5,109,204,0
34,5,109,213,0
35,5,119,213,0
36,5,118,224,0
37,6,127,223,0
38,9,127,230,0
39,9,113,254,10000
40,11,122,252,10000
41,12,115,268,10000
42,12,125,268,10000
43,14,130,270,10000
44,14,128,282,10000
45,14,134,286,10000
46,14,135,294,10000
47,14,139,300,10000
48,14,143,305,10000
49,14,148,310,10000
50,14,157,310,0
51,14,165,312,0
52,14,168,318,0
53,14,171,325,0
54,14,177,328,0
55,14,187,328,0
56,14,196,329,0
57,14,205,329,0
58,14,215,329,0
59,14,225,329,0
60,14,234,329,0
61,14,244,329,0
62,14,253,329,0
63,14,263,329,0
64,14,273,329,0
65,14,282,329,0
66,14,292,329,0
67,14,301,329,0
68,14,311,329,0
69,14,320,330,0
70,14,329,330,0
71,14,339,330,0
72,15,349,329,0
73,17,356,329,0
74,17,360,334,0
75,17,370,334,0
76,17,380,334,0
77,17,389,334,0
78,17,399,334,0
79,17,408,334,0
80,17,418,334,0
81,17,428,334,0
82,17,437,334,0
83,17,447,334,0
84,17,456,334,0
85,17,466,334,0
86,17,476,334,0
87,17,485,334,0
88,17,495,334,0
89,17,504,334,0
90,17,514,334,0
91,17,524,334,0
