Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,15,10000
2,0,2,29,10000
3,0,2,45,10000
4,0,18,45,10000
5,0,35,45,10000
6,0,33,64,10000
7,0,25,90,10000
8,0,42,90,10000
9,0,58,90,10000
10,0,75,90,10000
11,0,72,109,10000
12,0,81,117,10000
13,0,95,118,10000
14,0,113,118,10000
15,0,130,118,0
16,0,145,119,0
17,0,163,119,0
18,0,180,119,0
19,0,195,119,0
20,0,212,119,0
21,0,230,119,0
22,0,246,119,0
23,0,261,119,0
24,0,278,119,0
25,0,293,119,0
26,0,308,119,0
27,0,325,119,0
28,0,341,119,0
29,0,358,119,0
30,0,375,119,0
31,0,390,119,0
32,0,398,127,0
33,0,403,138,0
34,0,419,138,0
35,0,434,138,0
36,0,449,138,0
37,0,467,138,0
38,0,484,138,0
39,0,501,138,0
40,0,517,138,0
41,0,535,138,0
42,0,551,138,0
43,0,567,138,0
44,0,585,138,0
45,0,603,138,0
46,0,621,138,0
47,0,638,138,0
48,0,656,138,0
49,0,673,138,0
50,0,691,138,0
51,0,707,138,0
52,0,725,138,0
53,0,743,138,0
54,0,760,138,0
55,0,777,138,0
56,0,794,138,0
57,0,812,138,0
58,0,829,138,0
59,0,847,138,0
60,0,864,138,0
61,0,882,138,0
62,0,900,138,0
63,0,917,138,0
64,0,935,138,0
65,0,951,138,0
66,0,968,138,0
67,0,985,138,0
68,0,1002,138,0
69,0,1018,138,0
70,0,1036,138,0
71,0,1054,138,0
72,0,1071,138,0
73,0,1088,138,0
74,0,1106,138,0
75,0,1123,138,0
76,0,1140,138,0
77,0,1158,138,0
78,0,1175,138,0
79,0,1192,138,0
80,0,1210,138,0
81,0,1226,138,0
82,0,1242,139,0
83,0,1259,139,0
84,0,1275,140,0
85,0,1292,140,0
86,0,1309,140,0
87,26,1301,140,0
88,28,1317,138,0
89,28,1335,138,0
90,28,1353,138,0
91,29,1370,137,0
