Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,3,15,10000
2,0,3,34,10000
3,0,6,49,10000
4,0,27,49,10000
5,0,48,49,10000
6,0,44,74,10000
7,0,43,92,10000
8,0,59,92,10000
9,0,75,92,10000
10,0,94,92,0
11,0,96,107,0
12,0,103,121,0
13,0,118,121,0
14,0,138,121,0
15,0,156,121,0
16,0,176,121,0
17,0,200,121,0
18,0,220,121,0
19,0,238,121,0
20,0,257,121,0
21,0,277,121,0
22,0,294,121,0
23,0,313,121,0
24,0,332,121,0
25,0,353,121,0
26,0,371,121,0
27,0,391,121,0
28,0,406,121,0
29,0,424,121,0
30,0,443,121,0
31,0,462,121,0
32,0,483,121,0
33,0,498,121,0
34,0,514,121,0
35,0,535,121,0
36,0,555,121,0
37,0,578,121,0
38,0,592,121,0
39,0,611,121,0
40,0,631,121,0
41,0,649,121,0
42,0,669,122,0
43,0,688,122,0
44,0,706,122,0
45,0,727,122,0
46,0,744,122,0
47,0,764,122,0
48,0,781,122,0
49,0,801,122,0
50,0,820,122,0
51,0,842,122,0
52,0,862,122,0
53,0,882,122,0
54,0,902,122,0
55,0,924,122,0
56,0,945,122,0
57,0,963,122,0
58,0,983,122,0
59,0,1003,122,0
60,0,1024,122,0
61,0,1045,122,0
62,0,1064,122,0
63,0,1084,122,0
64,0,1099,130,0
65,0,1116,131,0
66,0,1135,131,0
67,0,1151,133,0
68,0,1172,133,0
69,0,1193,133,0
70,0,1212,133,0
71,0,1240,133,0
72,0,1264,133,0
73,0,1288,133,0
74,0,1309,133,0
75,0,1331,133,0
76,0,1352,133,0
77,0,1383,133,0
78,0,1405,133,0
79,0,1429,133,0
80,0,1451,133,0
81,0,1474,133,0
82,0,1494,133,0
83,0,1514,133,0
84,0,1540,133,0
85,0,1562,133,0
86,0,1585,133,0
87,0,1595,139,0
88,0,1614,142,0
89,0,1639,142,0
90,0,1660,142,0
91,0,1685,142,0
