Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,22,10000
2,0,2,38,10000
3,0,8,49,10000
4,0,30,49,10000
5,0,44,49,10000
6,0,51,61,10000
7,0,33,96,10000
8,0,51,96,10000
9,0,69,96,10000
10,0,89,96,10000
11,0,95,109,10000
12,0,107,117,10000
13,0,120,122,10000
14,0,137,122,10000
15,0,157,122,0
16,0,173,124,0
17,0,193,124,0
18,0,210,124,0
19,0,227,124,0
20,0,244,124,0
21,0,263,124,0
22,0,281,124,0
23,0,301,124,0
24,0,320,124,0
25,0,342,124,0
26,0,360,124,0
27,0,382,124,0
28,0,401,124,0
29,0,419,124,0
30,0,442,124,0
31,0,463,124,0
32,0,481,128,0
33,0,500,128,0
34,0,517,128,0
35,0,537,128,0
36,0,557,128,0
37,0,579,128,0
38,0,600,128,0
39,0,617,128,0
40,0,636,128,0
41,0,654,128,0
42,0,670,128,0
43,0,690,128,0
44,0,710,128,0
45,0,733,128,0
46,0,752,128,0
47,0,772,128,0
48,0,795,128,0
49,0,814,128,0
50,0,833,128,0
51,0,852,128,0
52,0,870,128,0
53,0,888,128,0
54,0,907,128,0
55,0,927,128,0
56,0,945,128,0
57,0,967,128,0
58,0,988,128,0
59,0,1010,128,0
60,0,1033,128,0
61,0,1050,128,0
62,0,1071,130,0
63,0,1089,130,0
64,0,1105,130,0
65,0,1124,130,0
66,0,1143,130,0
67,0,1162,130,0
68,0,1181,130,0
69,0,1198,130,0
70,0,1218,130,0
71,0,1243,130,0
72,0,1269,130,0
73,0,1292,130,0
74,0,1313,130,0
75,0,1333,130,0
76,0,1353,130,0
77,0,1372,130,0
78,0,1394,130,0
79,0,1412,130,0
80,0,1431,130,0
81,0,1452,130,0
82,0,1472,130,0
83,0,1494,130,0
84,0,1514,130,0
85,0,1534,130,0
86,0,1559,130,0
87,0,1581,130,0
88,0,1600,130,0
89,0,1622,130,0
90,0,1645,130,0
91,0,1667,130,0
