Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,18,10000
2,0,2,39,10000
3,0,11,48,10000
4,0,31,48,10000
5,0,47,48,10000
6,0,52,63,10000
7,0,41,92,10000
8,0,54,97,10000
9,0,69,97,10000
10,0,87,97,0
11,0,95,106,0
12,0,109,110,0
13,0,119,118,0
14,0,134,118,0
15,0,154,118,0
16,0,169,121,0
17,0,191,121,0
18,0,207,121,0
19,0,225,121,0
20,0,242,121,0
21,0,260,121,0
22,0,275,121,0
23,0,293,121,0
24,0,310,121,0
25,0,328,121,0
26,0,348,121,0
27,0,369,121,0
28,0,389,121,0
29,0,407,121,0
30,0,423,121,0
31,0,443,121,0
32,0,459,121,0
33,0,479,121,0
34,0,499,121,0
35,0,517,121,0
36,0,535,121,0
37,0,554,121,0
38,0,571,121,0
39,0,589,121,0
40,0,608,121,0
41,0,627,121,0
42,0,647,121,0
43,0,666,121,0
44,0,685,121,0
45,0,703,121,0
46,0,725,121,0
47,0,743,121,0
48,0,762,121,0
49,0,786,121,0
50,0,806,121,0
51,0,823,121,0
52,0,839,121,0
53,0,859,121,0
54,0,883,121,0
55,0,908,121,0
56,1,929,121,0
57,1,951,121,0
58,1,970,121,0
59,51,941,121,0
60,51,960,121,0
61,51,980,121,0
62,96,956,121,0
63,96,974,121,0
64,96,997,121,0
65,96,1016,121,0
66,150,980,121,0
67,150,999,121,0
68,150,1016,121,0
69,153,1033,121,0
70,153,1051,121,0
71,153,1074,121,0
72,198,1053,121,0
73,198,1081,121,0
74,198,1101,121,0
75,239,1085,121,0
76,239,1112,121,0
77,239,1133,121,0
78,239,1155,121,0
79,239,1175,121,0
80,239,1197,121,0
81,239,1218,121,0
82,239,1239,121,0
83,239,1260,121,0
84,239,1285,121,0
85,239,1307,121,0
86,239,1328,121,0
87,239,1348,121,0
88,239,1367,121,0
89,239,1386,121,0
90,239,1408,121,0
91,239,1431,121,0
