Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,17,10000
2,0,2,34,10000
3,0,2,51,10000
4,0,19,51,10000
5,0,36,51,10000
6,0,33,71,10000
7,0,27,93,10000
8,0,43,94,10000
9,0,59,94,10000
10,0,75,94,10000
11,0,78,107,10000
12,0,83,118,10000
13,0,98,119,10000
14,0,115,119,10000
15,0,131,119,0
16,0,145,121,0
17,0,162,121,0
18,0,179,121,0
19,0,195,121,0
20,0,212,121,0
21,0,230,121,0
22,0,246,121,0
23,0,262,121,0
24,0,279,121,0
25,0,295,121,0
26,0,312,121,0
27,0,328,121,0
28,0,344,121,0
29,0,360,121,0
30,0,377,121,0
31,0,393,121,0
32,1,400,129,0
33,1,406,140,0
34,1,422,140,0
35,1,438,140,0
36,1,453,140,0
37,1,470,140,0
38,1,488,140,0
39,1,504,140,0
40,1,521,140,0
41,1,538,140,0
42,1,556,140,0
43,1,574,140,0
44,1,591,140,0
45,1,609,140,0
46,1,627,140,0
47,1,644,140,0
48,1,661,140,0
49,1,678,140,0
50,1,696,140,0
51,1,713,140,0
52,1,731,140,0
53,1,748,140,0
54,1,767,140,0
55,1,783,140,0
56,1,800,140,0
57,1,817,140,0
58,1,834,140,0
59,1,853,140,0
60,1,870,140,0
61,1,889,140,0
62,1,905,142,0
63,1,922,142,0
64,1,939,142,0
65,1,955,142,0
66,1,973,142,0
67,1,990,142,0
68,1,1007,142,0
69,1,1023,142,0
70,1,1041,142,0
71,1,1057,142,0
72,1,1075,142,0
73,1,1092,142,0
74,1,1110,142,0
75,1,1127,142,0
76,1,1144,142,0
77,1,1163,142,0
78,1,1180,142,0
79,1,1197,142,0
80,1,1214,142,0
81,1,1230,142,0
82,1,1245,143,0
83,1,1262,143,0
84,1,1278,143,0
85,1,1294,143,0
86,1,1311,143,0
87,2,1329,142,0
88,3,1346,141,0
89,3,1363,141,0
90,3,1381,141,0
91,3,1397,141,0
