Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,16,10000
2,0,2,32,10000
3,0,2,48,10000
4,0,16,49,10000
5,0,33,49,10000
6,0,30,69,10000
7,0,30,86,10000
8,0,41,93,10000
9,0,56,93,10000
10,0,73,93,0
11,0,77,105,0
12,0,82,117,0
13,0,95,119,0
14,0,112,119,0
15,0,130,119,0
16,0,144,121,0
17,0,160,121,0
18,0,176,121,0
19,0,191,121,0
20,0,208,121,0
21,0,225,121,0
22,0,241,121,0
23,0,257,121,0
24,0,274,121,0
25,0,290,121,0
26,0,304,121,0
27,0,320,121,0
28,0,337,121,0
29,0,353,121,0
30,0,371,121,0
31,0,387,121,0
32,0,396,129,0
33,0,398,144,0
34,0,414,144,0
35,0,428,144,0
36,0,444,144,0
37,0,462,144,0
38,0,479,144,0
39,0,496,144,0
40,0,513,144,0
41,0,530,144,0
42,0,548,144,0
43,0,566,144,0
44,0,584,144,0
45,0,602,144,0
46,0,620,144,0
47,0,637,144,0
48,0,654,144,0
49,0,672,144,0
50,0,689,144,0
51,0,706,144,0
52,0,723,144,0
53,0,741,144,0
54,0,758,144,0
55,0,775,144,0
56,0,792,144,0
57,0,810,144,0
58,0,826,144,0
59,0,845,144,0
60,0,863,144,0
61,0,881,144,0
62,0,899,144,0
63,0,915,144,0
64,0,933,144,0
65,0,950,144,0
66,0,968,144,0
67,0,985,144,0
68,0,1002,144,0
69,0,1018,144,0
70,0,1036,144,0
71,0,1052,144,0
72,0,1069,144,0
73,0,1086,144,0
74,0,1104,144,0
75,0,1120,144,0
76,0,1136,144,0
77,0,1154,144,0
78,10,1161,145,0
79,10,1178,145,0
80,10,1196,145,0
81,13,1207,145,0
82,13,1223,145,0
83,13,1241,145,0
84,13,1257,145,0
85,13,1274,145,0
86,13,1290,145,0
87,33,1288,145,0
88,33,1305,145,0
89,33,1323,145,0
90,45,1329,145,0
91,45,1347,145,0
