Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,17,10000
2,0,2,32,10000
3,0,2,49,10000
4,0,18,50,10000
5,0,35,50,10000
6,0,35,68,10000
7,0,29,91,10000
8,0,44,93,10000
9,0,61,93,10000
10,0,78,93,0
11,0,77,109,0
12,0,83,120,0
13,0,96,122,0
14,0,113,122,0
15,0,130,122,0
16,0,144,125,0
17,0,160,125,0
18,0,176,125,0
19,0,193,125,0
20,0,209,125,0
21,0,226,125,0
22,0,241,125,0
23,0,257,125,0
24,0,274,125,0
25,0,289,125,0
26,0,304,125,0
27,0,321,125,0
28,0,338,125,0
29,0,354,125,0
30,0,372,125,0
31,0,387,125,0
32,0,396,133,0
33,0,400,146,0
34,0,416,146,0
35,0,430,146,0
36,0,446,146,0
37,0,464,146,0
38,0,481,146,0
39,0,498,146,0
40,0,515,146,0
41,0,533,146,0
42,0,550,146,0
43,0,567,146,0
44,0,585,146,0
45,0,602,146,0
46,0,621,146,0
47,0,639,146,0
48,0,655,146,0
49,0,673,146,0
50,0,691,146,0
51,0,707,146,0
52,0,725,146,0
53,0,742,146,0
54,0,760,146,0
55,0,777,146,0
56,0,794,146,0
57,0,811,146,0
58,0,828,146,0
59,0,846,146,0
60,0,864,146,0
61,0,881,146,0
62,0,899,146,0
63,0,916,146,0
64,0,934,146,0
65,0,950,146,0
66,0,968,146,0
67,0,987,146,0
68,0,1004,146,0
69,0,1020,146,0
70,0,1037,146,0
71,0,1055,146,0
72,45,1028,146,0
73,45,1044,146,0
74,45,1062,146,0
75,45,1079,146,0
76,45,1097,146,0
77,45,1115,146,0
78,62,1115,146,0
79,62,1133,146,0
80,62,1151,146,0
81,106,1123,146,0
82,106,1138,146,0
83,106,1155,146,0
84,141,1138,146,0
85,141,1155,146,0
86,141,1173,146,0
87,141,1190,146,0
88,141,1207,146,0
89,141,1225,146,0
90,141,1243,146,0
91,141,1261,146,0
