Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,16,10000
2,0,2,34,10000
3,0,2,50,10000
4,0,18,50,10000
5,0,35,50,10000
6,0,32,69,10000
7,0,24,94,10000
8,0,39,96,10000
9,0,57,96,10000
10,0,74,96,10000
11,0,76,110,10000
12,0,80,121,10000
13,0,94,122,10000
14,0,111,122,10000
15,0,128,122,0
16,0,143,123,0
17,0,159,123,0
18,0,176,123,0
19,0,191,123,0
20,0,209,123,0
21,0,226,123,0
22,0,243,123,0
23,0,260,123,0
24,0,276,123,0
25,0,290,123,0
26,0,306,123,0
27,0,323,123,0
28,0,340,123,0
29,0,357,123,0
30,0,374,123,0
31,0,391,123,0
32,0,400,131,0
33,0,408,141,0
34,0,425,141,0
35,0,438,141,0
36,0,455,141,0
37,0,471,141,0
38,0,489,141,0
39,0,506,141,0
40,0,524,141,0
41,0,541,141,0
42,0,558,141,0
43,0,577,141,0
44,0,594,141,0
45,0,611,141,0
46,0,629,141,0
47,0,647,141,0
48,0,664,141,0
49,0,682,141,0
50,0,700,141,0
51,0,716,141,0
52,0,734,141,0
53,0,752,141,0
54,0,770,141,0
55,0,786,141,0
56,0,803,141,0
57,0,821,141,0
58,0,837,141,0
59,0,855,141,0
60,0,873,141,0
61,0,890,141,0
62,0,907,142,0
63,0,923,142,0
64,0,941,142,0
65,0,957,142,0
66,45,930,142,0
67,45,949,142,0
68,45,966,142,0
69,101,926,142,0
70,101,944,142,0
71,101,960,142,0
72,102,977,142,0
73,102,993,142,0
74,102,1011,142,0
75,102,1029,142,0
76,102,1046,142,0
77,102,1063,142,0
78,103,1078,142,0
79,103,1096,142,0
80,103,1114,142,0
81,110,1122,142,0
82,110,1138,142,0
83,110,1155,142,0
84,110,1172,142,0
85,110,1189,142,0
86,110,1206,142,0
87,110,1224,142,0
88,110,1241,142,0
89,110,1258,142,0
90,142,1244,142,0
91,142,1261,142,0
