Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,16,10000
2,0,2,31,10000
3,0,2,48,10000
4,0,17,49,10000
5,0,34,49,10000
6,0,32,68,10000
7,0,25,92,10000
8,0,39,95,10000
9,0,56,95,10000
10,0,73,95,0
11,0,77,107,0
12,0,79,121,0
13,0,93,122,0
14,0,110,122,0
15,0,127,122,0
16,0,139,126,0
17,0,155,126,0
18,0,173,126,0
19,0,188,126,0
20,0,205,126,0
21,0,223,126,0
22,0,239,126,0
23,0,256,126,0
24,0,270,126,0
25,0,286,126,0
26,0,300,126,0
27,0,317,126,0
28,0,333,126,0
29,0,350,126,0
30,0,368,126,0
31,0,384,126,0
32,0,396,130,0
33,0,401,142,0
34,0,417,142,0
35,0,432,142,0
36,0,447,142,0
37,0,465,142,0
38,0,482,142,0
39,0,499,142,0
40,0,515,142,0
41,0,533,142,0
42,0,550,142,0
43,0,568,142,0
44,0,585,142,0
45,0,603,142,0
46,0,621,142,0
47,0,640,142,0
48,0,656,142,0
49,0,674,142,0
50,0,692,142,0
51,0,708,142,0
52,0,725,142,0
53,0,743,142,0
54,0,760,142,0
55,0,777,142,0
56,0,794,142,0
57,0,811,142,0
58,0,827,142,0
59,0,846,142,0
60,0,863,142,0
61,0,881,142,0
62,0,898,142,0
63,0,915,142,0
64,0,932,142,0
65,0,949,142,0
66,0,967,142,0
67,0,984,142,0
68,0,1001,142,0
69,0,1017,142,0
70,0,1034,142,0
71,0,1051,142,0
72,0,1067,142,0
73,0,1084,142,0
74,0,1102,142,0
75,0,1119,142,0
76,0,1137,142,0
77,0,1153,142,0
78,0,1170,142,0
79,0,1188,142,0
80,0,1205,142,0
81,0,1222,142,0
82,1,1238,141,0
83,1,1255,141,0
84,1,1271,141,0
85,1,1288,141,0
86,3,1306,139,0
87,5,1322,138,0
88,5,1339,138,0
89,5,1357,138,0
90,64,1316,138,0
91,64,1334,138,0
