Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,20,10000
2,0,3,35,10000
3,0,6,49,10000
4,0,21,49,10000
5,0,37,49,10000
6,0,41,60,10000
7,0,34,87,10000
8,0,44,93,10000
9,0,59,93,10000
10,0,74,93,0
11,0,77,107,0
12,0,85,114,0
13,0,99,118,0
14,0,116,118,0
15,0,133,118,0
16,0,150,118,0
17,0,168,118,0
18,0,187,118,0
19,0,204,118,0
20,0,220,118,0
21,0,237,118,0
22,0,257,118,0
23,0,276,118,0
24,0,294,118,0
25,0,309,118,0
26,0,328,118,0
27,0,349,118,0
28,0,366,118,0
29,0,383,118,0
30,0,398,118,0
31,0,414,118,0
32,0,429,120,0
33,0,447,120,0
34,0,467,120,0
35,0,484,120,0
36,0,501,120,0
37,0,516,120,0
38,0,535,120,0
39,0,552,120,0
40,0,568,120,0
41,0,588,120,0
42,0,602,120,0
43,0,618,120,0
44,0,638,120,0
45,0,663,120,0
46,0,679,120,0
47,0,696,120,0
48,0,717,120,0
49,0,735,120,0
50,0,750,120,0
51,0,767,120,0
52,0,786,120,0
53,0,802,120,0
54,0,821,120,0
55,0,839,120,0
56,0,856,120,0
57,0,876,120,0
58,0,896,120,0
59,0,915,120,0
60,0,933,120,0
61,0,947,120,0
62,0,964,120,0
63,0,983,120,0
64,0,1004,120,0
65,0,1022,120,0
66,0,1039,120,0
67,0,1057,120,0
68,0,1076,120,0
69,0,1094,120,0
70,0,1118,120,0
71,0,1139,120,0
72,0,1159,120,0
73,0,1179,120,0
74,0,1198,120,0
75,0,1216,120,0
76,0,1234,120,0
77,0,1255,120,0
78,0,1274,120,0
79,59,1237,120,0
80,59,1254,120,0
81,59,1272,120,0
82,60,1295,120,0
83,60,1316,120,0
84,60,1338,120,0
85,105,1312,120,0
86,105,1334,120,0
87,105,1354,120,0
88,106,1372,120,0
89,106,1391,120,0
90,106,1416,120,0
91,148,1395,120,0
