Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,10,10000
2,0,2,20,10000
3,0,2,29,10000
4,0,3,38,10000
5,0,3,48,10000
6,0,3,57,10000
7,0,4,66,10000
8,0,7,73,10000
9,0,6,83,10000
10,0,16,83,10000
11,0,11,97,10000
12,0,21,97,10000
13,0,21,106,10000
14,0,27,110,10000
15,0,37,110,10000
16,0,34,122,10000
17,0,44,122,10000
18,0,48,127,10000
19,0,51,134,10000
20,0,60,134,0
21,0,57,146,0
22,0,64,149,0
23,0,71,151,0
24,0,70,162,0
25,0,80,162,0
26,0,81,170,0
27,0,85,175,0
28,0,93,177,0
29,0,97,183,0
30,0,106,183,0
31,0,109,190,0
32,0,115,194,0
33,3,112,203,0
34,3,112,213,0
35,7,122,209,0
36,7,118,222,0
37,10,124,223,0
38,13,127,226,10000
39,13,124,239,10000
40,14,133,238,10000
41,14,131,250,10000
42,14,136,255,10000
43,17,145,252,10000
44,17,155,252,10000
45,17,164,252,0
46,17,173,252,0
47,17,183,252,0
48,17,193,252,0
49,17,199,255,0
50,17,209,255,0
51,17,219,255,0
52,17,228,255,0
53,17,238,255,0
54,17,248,255,0
55,17,257,255,0
56,17,267,255,0
57,17,276,255,0
58,17,286,255,0
59,17,295,255,0
60,17,305,255,0
61,17,315,255,0
62,17,324,255,0
63,17,333,256,0
64,17,341,257,0
65,17,351,257,0
66,20,361,254,0
67,25,370,250,0
68,25,376,253,0
69,30,380,254,0
70,30,389,255,0
71,30,398,255,0
72,30,408,255,0
73,30,417,255,0
74,30,427,255,0
75,30,436,255,0
76,30,446,255,0
77,30,456,255,0
78,30,465,255,0
79,30,475,255,0
80,30,484,255,0
81,30,494,255,0
82,30,504,255,0
83,30,513,255,0
84,30,523,255,0
85,30,532,255,0
86,30,542,255,0
87,30,552,255,0
88,30,561,255,0
89,30,571,255,0
90,30,581,255,0
91,30,591,255,0
