Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,10,10000
2,0,2,20,10000
3,0,3,28,10000
4,0,5,36,10000
5,0,5,46,10000
6,0,5,55,10000
7,0,5,65,10000
8,0,10,70,10000
9,0,6,83,10000
10,0,16,83,10000
11,0,12,97,10000
12,0,20,98,10000
13,0,23,105,10000
14,0,28,110,10000
15,0,37,110,0
16,0,35,121,0
17,0,43,123,0
18,0,50,126,0
19,0,52,133,0
20,0,62,133,0
21,0,63,141,0
22,0,67,147,0
23,0,75,148,0
24,0,73,160,0
25,0,83,160,0
26,0,86,166,0
27,0,90,172,0
28,0,99,172,0
29,0,102,179,0
30,0,112,179,0
31,0,117,183,0
32,0,120,190,0
33,3,119,197,0
34,3,119,207,0
35,4,128,206,0
36,4,126,217,0
37,6,129,221,0
38,8,133,225,10000
39,8,131,237,10000
40,8,139,238,10000
41,10,140,245,10000
42,10,142,252,10000
43,12,152,250,10000
44,12,161,250,10000
45,12,171,250,0
46,12,180,250,0
47,12,190,250,0
48,12,199,250,0
49,12,209,250,0
50,12,218,251,0
51,12,228,251,0
52,12,237,251,0
53,12,247,251,0
54,12,257,251,0
55,12,266,251,0
56,12,276,251,0
57,12,285,251,0
58,12,295,251,0
59,12,304,251,0
60,12,314,251,0
61,12,324,251,0
62,12,334,251,0
63,12,343,251,0
64,12,352,252,0
65,12,362,252,0
66,12,371,252,0
67,12,381,252,0
68,12,388,255,0
69,12,390,262,0
70,12,399,263,0
71,12,406,265,0
72,12,416,265,0
73,12,426,265,0
74,12,435,265,0
75,12,445,265,0
76,12,454,265,0
77,12,464,265,0
78,12,473,265,0
79,12,483,265,0
80,12,493,265,0
81,12,502,265,0
82,12,512,265,0
83,12,522,265,0
84,12,531,265,0
85,12,541,265,0
86,12,550,265,0
87,12,560,265,0
88,12,570,265,0
89,12,579,265,0
90,12,589,265,0
91,12,599,265,0
