Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,10,10000
2,0,2,20,10000
3,0,3,28,10000
4,0,4,37,10000
5,0,4,47,10000
6,0,4,56,10000
7,0,5,65,10000
8,0,9,71,10000
9,0,6,83,10000
10,0,16,83,10000
11,0,10,99,10000
12,0,19,99,10000
13,0,20,108,10000
14,0,25,112,10000
15,0,35,112,0
16,0,32,124,0
17,0,42,124,0
18,0,45,131,0
19,0,50,135,0
20,0,60,135,0
21,0,59,145,0
22,0,64,150,0
23,0,70,153,0
24,0,71,162,0
25,0,81,162,0
26,0,80,172,0
27,0,82,180,0
28,0,91,181,0
29,0,94,187,0
30,0,104,187,0
31,0,111,189,0
32,0,114,196,0
33,3,112,205,0
34,3,113,213,0
35,3,123,213,0
36,3,120,226,0
37,4,127,227,0
38,8,133,227,10000
39,8,129,240,10000
40,10,138,239,10000
41,13,138,245,10000
42,13,141,252,10000
43,18,151,247,10000
44,18,160,247,10000
45,18,170,247,0
46,18,179,247,0
47,18,189,247,0
48,18,199,247,0
49,18,207,248,0
50,18,217,248,0
51,18,227,248,0
52,18,236,248,0
53,18,246,248,0
54,18,256,248,0
55,18,265,248,0
56,18,275,248,0
57,18,284,248,0
58,18,294,248,0
59,18,304,248,0
60,18,313,248,0
61,18,323,248,0
62,18,332,248,0
63,18,339,251,0
64,18,349,251,0
65,18,358,251,0
66,18,367,252,0
67,23,376,248,0
68,24,380,252,0
69,26,382,258,0
70,26,391,259,0
71,26,400,259,0
72,26,410,259,0
73,26,419,259,0
74,26,429,259,0
75,26,437,259,0
76,26,447,259,0
77,26,456,259,0
78,26,466,259,0
79,26,476,259,0
80,26,485,259,0
81,26,495,259,0
82,26,504,259,0
83,26,514,259,0
84,26,524,259,0
85,26,533,259,0
86,26,543,259,0
87,26,553,259,0
88,26,563,259,0
89,26,572,259,0
90,26,582,259,0
91,26,592,259,0
