Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,20,10000
2,0,3,39,10000
3,0,5,52,10000
4,0,25,52,10000
5,0,41,52,10000
6,0,47,64,10000
7,0,41,91,10000
8,0,49,99,10000
9,0,70,99,10000
10,0,86,99,0
11,0,91,113,0
12,0,94,127,0
13,0,105,131,0
14,0,121,131,0
15,0,141,131,0
16,0,156,131,0
17,0,175,131,0
18,0,190,131,0
19,0,207,131,0
20,0,224,131,0
21,0,244,131,0
22,0,264,131,0
23,0,278,131,0
24,0,292,131,0
25,0,309,131,0
26,0,329,131,0
27,0,346,131,0
28,0,365,131,0
29,0,384,131,0
30,0,400,131,0
31,0,417,131,0
32,0,434,132,0
33,0,453,132,0
34,0,471,132,0
35,0,490,132,0
36,0,507,132,0
37,0,528,132,0
38,0,548,132,0
39,0,568,132,0
40,0,584,132,0
41,0,603,132,0
42,0,623,132,0
43,0,641,132,0
44,0,661,132,0
45,0,680,132,0
46,0,700,132,0
47,0,718,132,0
48,0,733,132,0
49,0,753,132,0
50,0,771,132,0
51,0,789,132,0
52,0,807,132,0
53,0,826,132,0
54,0,845,132,0
55,0,867,132,0
56,0,885,132,0
57,0,903,132,0
58,0,920,132,0
59,0,937,132,0
60,0,955,132,0
61,0,975,132,0
62,0,994,132,0
63,0,1012,132,0
64,0,1031,132,0
65,0,1051,132,0
66,0,1072,132,0
67,0,1092,132,0
68,0,1111,132,0
69,0,1128,132,0
70,0,1149,132,0
71,0,1173,132,0
72,0,1195,132,0
73,0,1217,132,0
74,0,1240,132,0
75,0,1265,132,0
76,0,1284,132,0
77,0,1303,132,0
78,0,1321,132,0
79,0,1340,132,0
80,0,1358,132,0
81,0,1377,132,0
82,0,1397,132,0
83,51,1367,132,0
84,51,1389,132,0
85,51,1408,132,0
86,51,1431,132,0
87,51,1455,132,0
88,51,1470,132,0
89,51,1491,132,0
90,65,1496,132,0
91,65,1516,132,0
