Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,18,10000
2,0,2,35,10000
3,0,2,52,10000
4,0,18,53,10000
5,0,36,53,10000
6,0,35,71,10000
7,0,31,93,10000
8,0,36,103,10000
9,0,53,103,10000
10,0,67,103,10000
11,0,63,124,10000
12,0,73,129,10000
13,0,74,142,10000
14,0,90,142,10000
15,0,105,142,0
16,0,108,155,0
17,0,122,158,0
18,0,137,159,0
19,0,155,159,0
20,0,172,159,0
21,0,188,159,0
22,0,204,159,0
23,0,221,159,0
24,0,238,159,0
25,0,255,159,0
26,0,271,159,0
27,0,287,159,0
28,0,302,159,0
29,0,319,159,0
30,0,336,159,0
31,0,352,159,0
32,0,368,159,0
33,0,385,159,0
34,0,402,159,0
35,1,419,158,0
36,2,436,157,0
37,2,451,157,0
38,2,469,157,0
39,2,483,157,0
40,2,498,157,0
41,2,516,157,0
42,2,530,159,0
43,2,547,159,0
44,2,562,159,0
45,2,576,159,0
46,2,592,160,0
47,2,607,161,0
48,2,624,161,0
49,2,639,161,0
50,2,658,161,0
51,2,674,161,0
52,2,691,161,0
53,2,709,161,0
54,2,727,161,0
55,2,744,161,0
56,2,760,161,0
57,2,777,161,0
58,2,796,161,0
59,2,815,161,0
60,2,832,161,0
61,2,850,161,0
62,2,868,161,0
63,2,886,161,0
64,2,904,161,0
65,2,921,161,0
66,2,935,164,0
67,2,952,164,0
68,2,969,164,0
69,2,986,164,0
70,2,1003,164,0
71,2,1020,165,0
72,2,1038,165,0
73,2,1055,165,0
74,2,1071,165,0
75,2,1088,165,0
76,2,1106,165,0
77,2,1122,165,0
78,2,1139,165,0
79,2,1157,165,0
80,2,1175,165,0
81,2,1192,165,0
82,2,1208,165,0
83,2,1226,165,0
84,2,1244,165,0
85,2,1259,166,0
86,2,1275,168,0
87,2,1294,168,0
88,2,1311,168,0
89,2,1327,168,0
90,2,1344,168,0
91,2,1361,168,0
