Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,10,10000
2,0,2,20,10000
3,0,3,28,10000
4,0,4,37,10000
5,0,4,46,10000
6,0,4,56,10000
7,0,4,66,10000
8,0,9,70,10000
9,0,6,83,10000
10,0,16,83,10000
11,0,11,97,10000
12,0,20,98,10000
13,0,24,104,10000
14,0,27,110,10000
15,0,37,110,0
16,0,35,122,0
17,0,44,122,0
18,0,50,126,0
19,0,50,135,0
20,0,60,135,0
21,0,62,143,0
22,0,66,148,0
23,0,74,149,0
24,0,73,160,0
25,0,83,160,0
26,0,83,169,0
27,0,86,176,0
28,0,94,177,0
29,0,97,184,0
30,0,106,184,0
31,0,113,187,0
32,0,117,192,0
33,0,116,203,0
34,0,116,212,0
35,0,126,212,0
36,0,123,224,0
37,0,128,229,0
38,6,132,228,10000
39,6,128,242,10000
40,6,137,243,10000
41,11,138,246,10000
42,12,140,253,10000
43,16,149,249,10000
44,16,159,249,10000
45,16,169,249,0
46,16,177,249,0
47,16,187,249,0
48,16,196,249,0
49,16,206,249,0
50,16,214,250,0
51,16,224,250,0
52,16,234,250,0
53,16,244,250,0
54,16,253,250,0
55,16,262,250,0
56,16,271,250,0
57,16,281,250,0
58,16,291,250,0
59,16,300,250,0
60,16,310,250,0
61,16,319,250,0
62,16,329,250,0
63,16,338,250,0
64,16,348,250,0
65,16,357,250,0
66,16,366,251,0
67,20,372,250,0
68,26,379,247,0
69,26,381,255,0
70,29,389,253,0
71,29,396,256,0
72,29,406,256,0
73,29,415,256,0
74,29,425,256,0
75,29,434,256,0
76,29,443,256,0
77,29,453,256,0
78,29,463,256,0
79,29,472,256,0
80,29,482,256,0
81,29,492,256,0
82,29,501,256,0
83,29,511,256,0
84,29,520,256,0
85,29,530,256,0
86,29,540,256,0
87,29,550,256,0
88,29,559,256,0
89,29,569,256,0
90,29,579,256,0
91,29,588,256,0
