Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,5,14,10000
2,0,5,31,10000
3,0,5,49,10000
4,0,19,52,10000
5,0,39,52,0
6,0,30,76,0
7,0,33,93,10000
8,0,41,103,10000
9,0,61,103,10000
10,0,79,103,10000
11,0,77,121,10000
12,0,96,121,10000
13,0,107,129,10000
14,0,123,129,10000
15,0,140,129,0
16,0,152,136,0
17,0,167,138,0
18,0,177,145,0
19,0,196,145,0
20,0,211,145,0
21,0,221,152,0
22,0,235,154,0
23,0,254,154,0
24,0,275,154,0
25,0,293,154,0
26,2,314,152,0
27,5,333,149,0
28,5,353,149,0
29,5,372,149,0
30,5,393,149,0
31,5,413,149,0
32,5,436,149,0
33,5,454,150,0
34,5,471,150,0
35,5,491,150,0
36,5,509,150,0
37,5,529,150,0
38,5,551,150,0
39,5,572,150,0
40,5,589,150,0
41,5,608,150,0
42,5,627,150,0
43,5,648,150,0
44,5,666,150,0
45,5,685,150,0
46,5,704,150,0
47,5,722,150,0
48,5,741,150,0
49,5,761,150,0
50,5,781,150,0
51,5,800,150,0
52,5,819,150,0
53,5,838,150,0
54,5,856,150,0
55,5,874,150,0
56,5,893,150,0
57,5,910,150,0
58,5,925,150,0
59,5,945,150,0
60,5,963,151,0
61,54,935,152,0
62,54,951,154,0
63,54,971,156,0
64,55,987,157,0
65,55,1001,163,0
66,55,1018,164,0
67,56,1038,164,0
68,56,1059,164,0
69,56,1081,164,0
70,56,1103,164,0
71,56,1121,167,0
72,56,1142,167,0
73,56,1161,167,0
74,56,1182,167,0
75,56,1203,167,0
76,56,1225,167,0
77,56,1248,167,0
78,56,1269,167,0
79,56,1291,167,0
80,56,1311,167,0
81,56,1334,167,0
82,56,1353,167,0
83,56,1371,167,0
84,56,1390,167,0
85,56,1410,167,0
86,56,1429,167,0
87,56,1450,167,0
88,56,1470,167,0
89,56,1490,167,0
90,56,1509,167,0
91,56,1529,167,0
