Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,16,10000
2,0,2,33,10000
3,0,2,51,10000
4,0,18,51,10000
5,0,36,51,10000
6,0,37,67,10000
7,0,33,89,10000
8,0,40,98,10000
9,0,56,98,10000
10,0,71,98,10000
11,0,63,123,10000
12,0,77,125,10000
13,0,76,141,10000
14,0,91,141,10000
15,0,106,141,10000
16,0,109,153,10000
17,0,123,156,10000
18,0,135,160,10000
19,0,152,160,10000
20,0,168,160,0
21,0,184,160,0
22,0,200,160,0
23,0,217,160,0
24,0,233,160,0
25,0,249,160,0
26,0,266,160,0
27,0,282,160,0
28,0,297,160,0
29,0,314,160,0
30,0,331,160,0
31,0,346,161,0
32,0,362,161,0
33,0,379,161,0
34,0,396,161,0
35,0,414,161,0
36,2,432,159,0
37,2,446,159,0
38,2,464,159,0
39,2,478,159,0
40,2,493,159,0
41,2,510,159,0
42,2,521,163,0
43,2,538,163,0
44,2,553,163,0
45,2,569,163,0
46,2,586,163,0
47,2,601,164,0
48,2,617,164,0
49,2,635,164,0
50,2,653,164,0
51,2,670,164,0
52,2,686,164,0
53,2,703,164,0
54,2,720,164,0
55,2,737,164,0
56,2,754,164,0
57,2,772,164,0
58,2,790,164,0
59,2,808,164,0
60,2,826,164,0
61,2,844,164,0
62,2,862,164,0
63,2,880,164,0
64,2,896,164,0
65,2,913,164,0
66,2,930,164,0
67,2,946,164,0
68,2,963,164,0
69,2,980,164,0
70,2,997,164,0
71,2,1015,164,0
72,2,1034,164,0
73,2,1050,164,0
74,2,1067,164,0
75,2,1084,164,0
76,2,1102,164,0
77,2,1119,164,0
78,2,1136,164,0
79,51,1104,164,0
80,51,1123,164,0
81,51,1139,164,0
82,52,1155,164,0
83,52,1173,164,0
84,52,1191,164,0
85,95,1164,165,0
86,95,1179,168,0
87,95,1197,168,0
88,108,1201,168,0
89,108,1219,168,0
90,108,1237,168,0
91,108,1253,168,0
