Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,17,10000
2,0,2,31,10000
3,0,6,44,10000
4,0,22,44,10000
5,0,38,44,10000
6,0,43,56,10000
7,0,37,82,10000
8,0,43,93,10000
9,0,59,93,10000
10,0,79,93,10000
11,0,85,107,10000
12,0,95,115,10000
13,0,106,119,10000
14,0,125,119,10000
15,0,141,119,10000
16,0,162,119,10000
17,0,186,119,10000
18,0,202,119,10000
19,0,217,119,10000
20,0,232,119,0
21,0,248,119,0
22,0,264,119,0
23,0,282,119,0
24,0,299,119,0
25,0,319,119,0
26,0,336,119,0
27,0,357,119,0
28,0,375,119,0
29,0,393,119,0
30,0,408,119,0
31,0,424,119,0
32,0,439,121,0
33,0,458,121,0
34,0,476,121,0
35,0,495,121,0
36,0,512,121,0
37,0,528,121,0
38,0,549,121,0
39,0,573,121,0
40,0,594,121,0
41,0,612,121,0
42,0,633,121,0
43,0,653,121,0
44,0,673,121,0
45,0,691,121,0
46,0,710,121,0
47,0,728,121,0
48,0,744,121,0
49,0,760,121,0
50,0,780,121,0
51,0,801,121,0
52,0,816,121,0
53,0,833,121,0
54,0,854,121,0
55,0,875,121,0
56,0,898,121,0
57,0,915,121,0
58,0,935,121,0
59,0,954,121,0
60,0,973,121,0
61,0,992,121,0
62,0,1009,121,0
63,0,1029,121,0
64,0,1048,121,0
65,0,1068,121,0
66,0,1087,121,0
67,0,1106,121,0
68,0,1127,121,0
69,0,1144,121,0
70,0,1161,121,0
71,0,1185,121,0
72,0,1204,121,0
73,0,1226,121,0
74,0,1250,121,0
75,12,1256,121,0
76,12,1272,121,0
77,12,1292,121,0
78,64,1257,121,0
79,64,1279,121,0
80,64,1295,121,0
81,117,1259,121,0
82,117,1279,121,0
83,117,1301,121,0
84,176,1261,121,0
85,176,1283,121,0
86,176,1302,121,0
87,176,1318,121,0
88,176,1339,121,0
89,176,1361,121,0
90,176,1380,121,0
91,179,1399,121,0
