Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,10,10000
2,0,2,19,10000
3,0,2,29,10000
4,0,2,39,10000
5,0,2,48,10000
6,0,2,58,10000
7,0,2,67,10000
8,0,7,72,10000
9,0,4,84,10000
10,0,14,84,10000
11,0,10,97,10000
12,0,18,99,10000
13,0,21,105,10000
14,0,25,111,10000
15,0,35,111,0
16,0,29,127,0
17,0,38,127,0
18,0,42,133,0
19,0,46,138,0
20,0,56,138,0
21,0,58,145,0
22,0,63,150,0
23,0,69,153,0
24,0,70,162,0
25,0,79,162,0
26,0,79,172,0
27,0,84,176,0
28,0,91,179,0
29,0,95,185,0
30,0,104,185,0
31,0,113,186,0
32,0,117,192,0
33,0,112,206,0
34,0,113,215,0
35,0,122,215,0
36,0,120,227,0
37,0,123,233,0
38,3,130,233,10000
39,3,127,246,10000
40,7,135,243,10000
41,12,136,247,10000
42,12,139,254,10000
43,14,148,252,10000
44,14,158,252,10000
45,14,167,252,0
46,14,177,252,0
47,14,186,252,0
48,14,196,252,0
49,14,206,252,0
50,14,215,252,0
51,14,225,252,0
52,14,234,252,0
53,14,244,252,0
54,14,253,252,0
55,14,263,252,0
56,14,272,252,0
57,14,282,252,0
58,14,291,252,0
59,14,300,252,0
60,14,310,252,0
61,14,320,252,0
62,14,329,252,0
63,14,339,252,0
64,14,348,252,0
65,14,358,252,0
66,17,367,249,0
67,22,374,247,0
68,22,381,250,0
69,25,382,256,0
70,25,390,257,0
71,25,400,257,0
72,25,410,257,0
73,25,419,257,0
74,25,429,257,0
75,25,438,257,0
76,25,447,257,0
77,25,457,257,0
78,25,467,257,0
79,25,476,257,0
80,25,486,257,0
81,25,495,257,0
82,25,505,257,0
83,25,515,257,0
84,25,525,257,0
85,25,534,257,0
86,25,544,257,0
87,25,554,257,0
88,25,563,257,0
89,25,573,257,0
90,25,583,257,0
91,25,592,257,0
