Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,3,18,10000
2,0,3,33,10000
3,0,6,46,10000
4,0,24,46,10000
5,0,42,46,10000
6,0,50,60,10000
7,0,37,90,10000
8,0,46,100,10000
9,0,64,100,10000
10,0,80,100,0
11,0,83,115,0
12,0,91,123,0
13,0,106,125,0
14,0,126,125,0
15,0,144,125,0
16,0,160,125,0
17,0,177,125,0
18,0,193,125,0
19,0,207,125,0
20,0,224,125,0
21,0,241,125,0
22,0,259,125,0
23,0,280,125,0
24,0,296,125,0
25,0,315,125,0
26,0,334,125,0
27,0,349,125,0
28,0,368,125,0
29,0,388,125,0
30,0,408,125,0
31,0,429,125,0
32,0,445,125,0
33,0,460,125,0
34,0,481,125,0
35,0,499,125,0
36,0,519,125,0
37,0,535,125,0
38,0,552,125,0
39,0,570,125,0
40,0,586,125,0
41,0,607,125,0
42,0,627,125,0
43,0,647,125,0
44,0,665,125,0
45,0,684,125,0
46,0,702,125,0
47,0,722,125,0
48,0,743,125,0
49,0,765,125,0
50,0,787,125,0
51,0,806,125,0
52,0,823,125,0
53,0,843,125,0
54,0,860,125,0
55,0,875,125,0
56,0,895,125,0
57,0,913,125,0
58,1,929,125,0
59,1,951,125,0
60,1,972,125,0
61,51,941,125,0
62,51,961,125,0
63,51,981,125,0
64,107,944,125,0
65,107,963,125,0
66,107,983,125,0
67,107,1005,125,0
68,107,1023,125,0
69,107,1042,125,0
70,107,1062,125,0
71,107,1084,125,0
72,107,1104,125,0
73,107,1127,125,0
74,107,1147,125,0
75,107,1169,125,0
76,107,1191,125,0
77,107,1215,125,0
78,107,1237,125,0
79,107,1256,125,0
80,107,1277,125,0
81,107,1297,125,0
82,107,1318,125,0
83,107,1341,125,0
84,107,1364,125,0
85,107,1385,125,0
86,107,1403,125,0
87,107,1420,125,0
88,107,1442,125,0
89,107,1461,125,0
90,107,1480,125,0
91,107,1506,125,0
