Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,2,17,10000
2,0,2,33,10000
3,0,7,48,10000
4,0,25,48,10000
5,0,43,48,10000
6,0,46,64,10000
7,0,36,93,10000
8,0,46,100,10000
9,0,63,100,10000
10,0,81,100,10000
11,0,83,112,10000
12,0,96,116,10000
13,0,111,121,10000
14,0,129,121,10000
15,0,147,121,0
16,0,164,121,0
17,0,186,121,0
18,0,207,121,0
19,0,226,121,0
20,0,245,121,0
21,0,258,123,0
22,1,275,123,0
23,1,293,123,0
24,1,312,123,0
25,1,332,123,0
26,2,350,122,0
27,4,366,120,0
28,4,390,120,0
29,4,410,120,0
30,4,434,120,0
31,4,452,120,0
32,4,471,120,0
33,4,490,120,0
34,4,507,120,0
35,4,526,120,0
36,4,546,120,0
37,4,566,120,0
38,4,589,120,0
39,4,611,120,0
40,4,631,120,0
41,4,649,120,0
42,4,666,121,0
43,4,685,121,0
44,4,703,121,0
45,4,723,121,0
46,4,743,121,0
47,4,762,121,0
48,4,781,121,0
49,4,800,121,0
50,4,820,121,0
51,4,838,121,0
52,4,858,121,0
53,4,877,121,0
54,4,897,121,0
55,4,916,121,0
56,4,935,121,0
57,4,954,121,0
58,4,972,121,0
59,4,993,121,0
60,4,1016,121,0
61,4,1037,121,0
62,4,1058,121,0
63,4,1080,121,0
64,4,1103,121,0
65,4,1126,121,0
66,4,1145,121,0
67,4,1165,121,0
68,4,1183,121,0
69,4,1204,121,0
70,4,1223,121,0
71,4,1241,121,0
72,4,1261,121,0
73,4,1280,121,0
74,4,1299,121,0
75,4,1318,121,0
76,4,1340,121,0
77,4,1358,121,0
78,4,1379,121,0
79,4,1400,121,0
80,4,1420,121,0
81,4,1441,121,0
82,4,1464,121,0
83,4,1483,121,0
84,4,1504,121,0
85,4,1525,121,0
86,4,1547,121,0
87,4,1569,121,0
88,4,1590,121,0
89,31,1581,121,0
90,31,1601,121,0
91,31,1621,121,0
