Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,10000
1,0,8,14,10000
2,0,8,29,10000
3,0,8,45,10000
4,0,21,48,10000
5,0,37,48,0
6,0,31,72,0
7,0,27,94,10000
8,0,35,105,10000
9,0,54,105,10000
10,0,70,105,10000
11,0,70,122,10000
12,0,87,125,10000
13,0,100,130,10000
14,0,116,130,10000
15,0,134,130,0
16,0,146,136,0
17,0,162,138,0
18,0,168,148,0
19,0,184,148,0
20,0,200,148,0
21,0,210,154,0
22,0,228,154,0
23,0,245,154,0
24,0,266,154,0
25,0,285,154,0
26,11,306,143,0
27,11,322,143,0
28,11,342,143,0
29,11,364,143,0
30,11,384,143,0
31,11,401,143,0
32,11,419,143,0
33,11,436,144,0
34,11,454,144,0
35,11,473,144,0
36,11,490,144,0
37,11,510,144,0
38,11,529,144,0
39,11,547,144,0
40,11,567,144,0
41,11,585,144,0
42,11,606,144,0
43,11,626,144,0
44,11,647,144,0
45,11,667,144,0
46,11,687,144,0
47,11,707,144,0
48,11,725,144,0
49,11,748,144,0
50,11,769,144,0
51,11,790,144,0
52,11,811,144,0
53,11,830,144,0
54,11,851,144,0
55,11,869,144,0
56,11,889,144,0
57,11,909,144,0
58,11,928,144,0
59,11,950,144,0
60,11,969,144,0
61,11,989,145,0
62,11,1011,146,0
63,11,1029,148,0
64,11,1049,148,0
65,11,1067,151,0
66,11,1085,152,0
67,11,1106,152,0
68,11,1128,152,0
69,11,1147,152,0
70,11,1169,152,0
71,11,1186,153,0
72,11,1208,153,0
73,11,1230,153,0
74,11,1250,153,0
75,11,1270,153,0
76,11,1292,153,0
77,11,1313,153,0
78,11,1335,153,0
79,11,1355,153,0
80,11,1378,153,0
81,11,1402,153,0
82,11,1421,153,0
83,11,1438,153,0
84,11,1458,153,0
85,11,1477,154,0
86,11,1497,154,0
87,11,1513,154,0
88,11,1530,154,0
89,11,1551,154,0
90,11,1571,154,0
91,11,1591,154,0
